date;hour;temp;load
2004-01-13;16;33;17772
2004-01-13;17;30;18814
2004-01-13;18;27;20339
2004-01-13;19;22;20609
2004-01-13;20;19;20347
2004-01-13;21;16;19799
2004-01-13;22;13;18702
2004-01-13;23;10;17179
2004-01-13;24;8;15859
2004-01-14;1;6;15021
2004-01-14;2;3;14717
2004-01-14;3;2;14730
2004-01-14;4;0;14811
2004-01-14;5;-2;15222
2004-01-14;6;-3;16455
2004-01-14;7;-4;18828
2004-01-14;8;-5;20231
2004-01-14;9;-5;20367
2004-01-14;10;-4;20480
2004-01-14;11;-2;20493
2004-01-14;12;0;20407
2004-01-14;13;2;20206
2004-01-14;14;3;20063
2004-01-14;15;4;19857
2004-01-14;16;4;20011
2004-01-14;17;4;21101
2004-01-14;18;4;22477
2004-01-14;19;3;22419
2004-01-14;20;3;21837
2004-01-14;21;2;21103
2004-01-14;22;2;19820
2004-01-14;23;2;18158
2004-01-14;24;1;16721
2004-01-15;1;1;15787
2004-01-15;2;1;15358
2004-01-15;3;1;15191
2004-01-15;4;0;15201
2004-01-15;5;0;15525
2004-01-15;6;-1;16639
2004-01-15;7;-2;18777
2004-01-15;8;-1;20176
2004-01-15;9;-2;20549
2004-01-15;10;-1;20616
2004-01-15;11;0;20651
2004-01-15;12;2;20466
2004-01-15;13;4;20180
2004-01-15;14;5;20014
2004-01-15;15;5;19854
2004-01-15;16;5;20004
2004-01-15;17;4;21152
2004-01-15;18;1;22682
2004-01-15;19;-1;22818
2004-01-15;20;-2;22440
2004-01-15;21;-3;21786
2004-01-15;22;-4;20686
2004-01-15;23;-6;19159
2004-01-15;24;-7;17822
2004-01-16;1;-7;16926
2004-01-16;2;-7;16516
2004-01-16;3;-6;16275
2004-01-16;4;-7;16304
2004-01-16;5;-7;16550
2004-01-16;6;-6;17510
2004-01-16;7;-7;19243
2004-01-16;8;-7;20577
2004-01-16;9;-6;21239
2004-01-16;10;-3;21534
2004-01-16;11;0;21665
2004-01-16;12;3;21475
2004-01-16;13;6;21082
2004-01-16;14;9;20716
2004-01-16;15;11;20333
2004-01-16;16;12;20188
2004-01-16;17;11;20746
2004-01-16;18;10;21931
2004-01-16;19;10;21806
2004-01-16;20;10;21136
2004-01-16;21;10;20432
2004-01-16;22;10;19408
2004-01-16;23;10;18071
2004-01-16;24;10;16778
2004-01-17;1;11;15819
2004-01-17;2;11;15254
2004-01-17;3;12;14884
2004-01-17;4;12;14733
2004-01-17;5;12;14787
2004-01-17;6;12;15161
2004-01-17;7;12;15916
2004-01-17;8;14;16730
2004-01-17;9;15;17552
2004-01-17;10;18;18140
2004-01-17;11;21;18212
2004-01-17;12;25;17933
2004-01-17;13;27;17336
2004-01-17;14;30;16824
2004-01-17;15;31;16474
2004-01-17;16;32;16478
2004-01-17;17;31;17421
2004-01-17;18;29;18769
2004-01-17;19;27;18662
2004-01-17;20;27;18091
2004-01-17;21;25;17499
2004-01-17;22;25;16762
2004-01-17;23;25;15680
2004-01-17;24;26;14636
2004-01-18;1;25;13592
2004-01-18;2;26;13062
2004-01-18;3;25;12734
2004-01-18;4;26;12586
2004-01-18;5;26;12578
2004-01-18;6;26;12789
2004-01-18;7;26;13316
2004-01-18;8;27;14053
2004-01-18;9;28;15150
2004-01-18;10;29;16027
2004-01-18;11;30;16620
2004-01-18;12;30;16900
2004-01-18;13;31;16974
2004-01-18;14;31;16803
2004-01-18;15;31;16583
2004-01-18;16;31;16493
2004-01-18;17;31;17145
2004-01-18;18;30;17969
2004-01-18;19;30;17956
2004-01-18;20;30;17673
2004-01-18;21;28;17069
2004-01-18;22;27;16172
2004-01-18;23;26;15064
2004-01-18;24;25;14013
2004-01-19;1;24;13281
2004-01-19;2;24;12926
2004-01-19;3;22;12772
2004-01-19;4;21;12818
2004-01-19;5;20;13158
2004-01-19;6;20;14123
2004-01-19;7;20;15610
2004-01-19;8;19;16776
2004-01-19;9;19;17504
2004-01-19;10;19;18045
2004-01-19;11;21;18445
2004-01-19;12;21;18452
2004-01-19;13;23;18366
2004-01-19;14;22;18060
2004-01-19;15;23;17940
2004-01-19;16;22;17972
2004-01-19;17;21;18922
2004-01-19;18;19;20596
2004-01-19;19;18;20698
2004-01-19;20;17;20372
2004-01-19;21;17;19598
2004-01-19;22;16;18346
2004-01-19;23;16;16820
2004-01-19;24;15;15393
2004-01-20;1;15;14429
2004-01-20;2;15;13980
2004-01-20;3;15;13858
2004-01-20;4;15;13868
2004-01-20;5;14;14197
2004-01-20;6;14;15398
2004-01-20;7;14;17630
